star,book_name,author,price,book_type,rank_num
平均4.7 星,"百年孤独(根据马尔克斯指定版本翻译,未做任何增删)",加西亚•马尔克斯,￥27.30,精装,74.
平均4.6 星,簪中录(套装共4册),侧侧轻寒,￥94.20,平装,75.
平均5.0 星,海洋奇缘:迪士尼官方绘本,美国迪士尼公司,￥26.30,平装,76.
平均4.5 星,人生终要有一场触及灵魂的旅行(附书签1张),毕淑敏,￥23.70,平装,77.
平均3.5 星,白银时代(插图珍藏本),王小波,￥22.10,平装,78.
平均4.3 星,闲情偶寄(清康熙刻本点校注释典藏版）,李渔,￥34.80,精装,79.
平均4.3 星,你不可不知的人性(套装共2册),刘墉,￥21.50,平装,80.
平均5.0 星,风声鹤唳（纪念典藏版）,林语堂,￥25.30,精装,81.
平均5.0 星,直到那一天,米歇尔·普西,￥25.80,平装,82.
平均5.0 星,幼儿学前600字:基础篇+提高篇(彩图注音版)(套装共2册),智趣文化,￥28.40,平装,83.
平均4.8 星,最美最美的中国童话·冬(套装共9册),汉声杂志社,￥130.00,平装,84.
平均4.5 星,生如夏花:泰戈尔经典诗选(双语美绘版),泰戈尔,￥18.20,平装,85.
平均4.6 星,习字入门,刘养锋,￥9.00,平装,86.
平均4.7 星,舍得让你爱的人受苦,张德芬,￥24.10,平装,87.
平均3.8 星,"不是世界不好,是你见的太少(随机赠送独家手绘明信片)",渡渡,￥23.80,平装,88.
平均5.0 星,武则天正传(纪念典藏版),林语堂,￥22.60,精装,89.
平均4.4 星,天生变态狂:TED心理学家的脑犯罪之旅,詹姆斯·法隆,￥22.90,平装,90.
平均4.6 星,面纱,威廉·萨默塞特·毛姆,￥28.00,平装,91.
平均4.7 星,三生三世枕上书,唐七公子,￥22.00,平装,92.
平均4.6 星,追风筝的人,卡勒德•胡赛尼 (Khaled Hosseini),￥17.70,平装,93.
平均4.5 星,性学三论(无删节版),西格蒙德·弗洛伊德 (Sigmund Freud),￥22.50,平装,94.
平均4.7 星,最美最美的中国童话•春(套装共9册),汉声杂志社,￥130.10,平装,95.
平均4.5 星,魔力,朗达•拜恩 (Rhonda Byrne),￥20.00,平装,96.
平均4.5 星,巴黎索邦大学语法教程:全新法语语法,德拉图尔 (Delatour Y),￥36.40,平装,97.
平均4.1 星,天星童书:全球精选绘本(第1辑)(套装共7册),奥克利·格雷厄姆,￥69.60,平装,98.
平均4.6 星,本草纲目(白话手绘彩图典藏本),李时珍,￥39.00,平装,99.
平均4.3 星,鸿观,宋鸿兵,￥33.70,平装,100.
